,Open,High,Low,Close,Adj Close,Date
0,38724.348,39745.027,37484.41,38645.508,38645.508,2021-05-28
1,36544.22,37541.934,35316.08,36460.293,36460.293,2021-05-29
2,36365.285,37361.117,35138.117,36280.945,36280.945,2021-05-30
3,36797.52,37797.902,35568.01,36714.184,36714.184,2021-05-31
4,37744.566,38754.93,36509.934,37663.44,37663.44,2021-06-01
5,37126.25,38130.098,35894.96,37043.684,37043.684,2021-06-02
6,38148.195,39162.81,36911.375,38068.01,38068.01,2021-06-03
7,39387.516,40415.184,38143.99,39310.223,39310.223,2021-06-04
8,37027.305,38030.113,35796.555,36944.508,36944.508,2021-06-05
9,36790.203,37790.51,35560.734,36706.85,36706.85,2021-06-06
10,36898.82,37900.27,35668.76,36815.72,36815.72,2021-06-07
11,34714.637,35693.082,33496.402,34626.445,34626.445,2021-06-08
12,35141.19,36124.13,33920.645,35053.992,35053.992,2021-06-09
13,37783.01,38793.777,36548.168,37701.973,37701.973,2021-06-10
14,36803.85,37804.3,35574.31,36720.53,36720.53,2021-06-11
15,37842.055,38853.445,36606.895,37761.16,37761.16,2021-06-12
16,35951.293,36942.766,34726.363,35865.984,35865.984,2021-06-13
17,39673.723,40704.406,38428.65,39597.098,39597.098,2021-06-14
18,40186.312,41222.395,38938.465,40110.883,40110.883,2021-06-15
19,40531.418,41571.133,39281.7,40456.793,40456.793,2021-06-16
20,38501.207,39519.54,37262.48,38421.848,38421.848,2021-06-17
21,38857.766,39879.85,37617.11,38779.24,38779.24,2021-06-18
22,36424.742,37421.2,35197.25,36340.54,36340.54,2021-06-19
23,37035.664,38038.56,35804.867,36952.887,36952.887,2021-06-20
24,36402.29,37398.51,35174.92,36318.03,36318.03,2021-06-21
25,33173.918,34136.133,31964.021,33082.133,33082.133,2021-06-22
26,34849.973,35829.84,33631.004,34762.094,34762.094,2021-06-23
27,34647.785,35625.523,33429.91,34559.434,34559.434,2021-06-24
28,35413.418,36399.227,34191.402,35326.855,35326.855,2021-06-25
29,32682.164,33639.2,31474.928,32589.23,32589.23,2021-06-26
30,34249.355,35222.9,33033.637,34160.08,34160.08,2021-06-27
31,35339.207,36324.23,34117.594,35252.473,35252.473,2021-06-28
32,34990.664,35972.016,33770.938,34903.117,34903.117,2021-06-29
33,36657.484,37656.395,35428.734,36573.824,36573.824,2021-06-30
34,35370.445,36355.797,34148.66,35283.78,35283.78,2021-07-01
